Time (s),Linear X,Angular Z
1744316248.3039165,0.2,0.0
1744316248.3070576,0.8,0.0
1744316248.635777,0.05,0.0
1744316248.6391213,0.8,0.0
1744316248.9552302,0.8,0.0
1744316249.2687001,0.8,0.0
1744316249.5699928,0.8,0.0
1744316249.8535416,0.8,0.0
1744316250.1116774,0.8,0.0
1744316250.3650286,0.8,0.0
1744316250.6200502,0.8,0.0
1744316250.8807092,0.8,0.0
1744316251.1355832,0.8,0.0
1744316251.3774438,0.8,0.0
1744316251.6277363,0.8,0.0
1744316251.8859673,0.8,0.0
1744316252.1429603,0.8,0.0
1744316252.4123633,0.8,0.0
1744316252.71624,0.8,0.0
1744316252.996448,0.8,0.0
1744316253.314202,0.8,0.0
1744316253.6363885,0.8,0.0
1744316253.9542966,0.8,0.0
1744316254.3047104,0.8,0.0
1744316254.308212,0.8,0.0
1744316254.684581,0.8,0.0
1744316255.1127508,0.8,0.0
1744316255.5786183,0.8,0.0
1744316256.0724342,0.8,0.0
1744316256.5374691,0.8,0.0
1744316256.9984076,0.8,0.0
1744316257.4520376,0.8,0.0
1744316257.8524823,0.8,0.0
1744316258.218266,0.8,0.0
1744316258.580699,0.2,0.0
1744316258.5841026,0.8,0.0
1744316258.8946311,0.05,0.0
1744316258.899887,0.8,0.0
1744316259.1940064,0.8,0.0
1744316259.4942048,0.8,0.0
1744316259.7658744,0.8,0.0
1744316260.0234318,0.8,0.0
1744316260.2620044,0.8,0.0
1744316260.4227757,0.8,0.0
1744316260.5926003,0.8,0.0
1744316260.7517195,0.8,0.0
1744316260.9109128,0.8,0.0
1744316261.0767467,0.8,0.0
1744316261.2462173,0.8,0.0
1744316261.4094727,0.8,0.0
1744316261.5766048,0.8,0.0
1744316261.7535148,0.8,0.0
1744316261.9132776,0.8,0.0
1744316262.069444,0.8,0.0
1744316262.2399352,0.8,0.0
1744316262.4173527,0.8,0.0
1744316262.5842078,0.8,0.0
1744316262.7521336,0.8,0.0
1744316262.9192998,0.8,0.0
1744316263.0909033,0.8,0.0
1744316263.2888947,0.8,0.0
1744316263.4888382,0.8,0.0
1744316263.6908607,0.8,0.0
1744316263.9194465,0.8,0.0
1744316264.1665533,0.8,0.0
1744316264.4587848,0.0,0.0
1744316264.4598517,0.0,0.0
1744316265.461003,-0.2,0.2
1744316268.4635992,-0.3,0.5
1744316269.4652371,-0.3,0.5
1744316270.4666014,-0.3,0.5
1744316271.4677532,-0.3,0.5
1744316272.4693923,-0.3,0.5
1744316273.4713624,-0.3,0.2
1744316274.4735615,-0.3,0.2
1744316275.4755554,0.0,0.0
1744316275.4763207,-0.5,0.0
1744316276.4779274,-0.5,0.0
1744316277.4790003,0.0,0.0
1744316277.479406,-0.15,-0.3
1744316279.4823022,-0.15,-0.4
1744316280.4840424,-0.15,-0.4
1744316281.4854507,-0.15,-0.4
1744316282.4871624,-0.15,-0.4
1744316283.4891396,-0.15,-0.4
1744316284.4913607,-0.15,-0.4
1744316285.4942858,-0.15,-0.4
1744316286.495915,-0.15,-0.4
1744316287.4969678,-0.15,-0.4
1744316288.498212,-0.15,-0.4
1744316289.4997592,-0.15,-0.4
1744316290.5008605,-0.15,-0.4
1744316291.5017343,-0.3,-0.3
1744316294.505753,0.0,0.0
